,FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
1737,John,Grey,Boston University,Philosophy,Boston,MA,4.7,N/,2.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1738,Joe,Metallo,Boston University,Criminal Justice,Boston,MA,4.4,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1739,Robert,Munger,Boston University,Economics,Boston,MA,2.1,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,Calvin,Olsen,Boston University,Writing,Boston,MA,4.8,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1741,Tessa,Croker,Boston University,Writing,Boston,MA,4.2,N/,3.7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1742,Alton,Rose,Boston University,Writing,Boston,MA,2.1,N/,2.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1743,Andreas,Elpidorou,Boston University,Philosophy,Boston,MA,3.8,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744,Manjie,Wang,Boston University,Psychology,Boston,MA,2.5,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,Henry,Lam,Boston University,Ma,Boston,MA,3.4,N/,3.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
1746,D.,Erker,Boston University,Linguistics,Boston,MA,5.0,N/,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747,Dreux,Richard,Boston University,English,Boston,MA,4.9,N/,3.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1748,Joseph,Harris,Boston University,Sociology,Boston,MA,4.8,N/,2.3,1,2,0,0,4,1,0,2,0,0,0,2,0,0,2,1,1,0,0,1
1749,Viviane,Sophie,Boston University,Classics,Boston,MA,5.0,N/,3.1,2,1,0,1,2,2,0,1,0,0,0,1,0,0,2,0,2,1,0,1
1750,Anne,Gehrenbeck-Shim,Boston University,Psychology,Boston,MA,3.8,N/,2.5,1,0,0,0,2,3,1,1,1,0,0,0,1,0,1,0,3,0,0,2
1751,Jacqueline,Milton,Boston University,Computer Science,Boston,MA,5.0,100,3.0,3,2,0,1,0,0,2,1,0,0,0,1,0,0,3,0,3,0,0,0
1752,Catherine,Espaillat,Boston University,Astronomy,Boston,MA,4.7,N/,2.7,1,1,0,1,0,0,0,3,0,0,0,2,0,0,3,1,4,0,0,1
1753,Jillian,Goldfarb,Boston University,Engineering,Boston,MA,1.4,N/,3.3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1754,Hsin-wei,Su,Boston University,Languages,Boston,MA,4.3,83,4.0,1,0,6,0,0,3,3,0,0,0,1,1,0,0,0,0,1,2,0,0
1755,David,Stolow,Boston University,Business,Boston,MA,4.4,80,3.4,3,5,0,0,0,3,0,1,0,0,0,0,0,0,2,0,2,0,0,1
1756,Osama,Alshaykh,Boston University,Engineering,Boston,MA,2.6,33,3.0,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
1757,Charlotte,Howell,Boston University,Film,Boston,MA,4.0,86,3.3,1,0,0,0,4,3,1,0,0,0,0,0,1,3,1,1,0,0,0,0
1758,Christine,Regalla,Boston University,Earth Science,Boston,MA,4.1,57,3.4,2,0,0,0,0,0,1,0,0,2,0,1,1,0,2,1,2,4,0,1
1759,Jonathan,Foltz,Boston University,English,Boston,MA,3.8,100,3.0,3,0,0,0,3,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0
1760,Michaela,McSweeney,Boston University,Philosophy,Boston,MA,4.3,71,3.1,0,1,0,1,4,2,0,1,1,0,0,0,1,0,2,1,2,0,1,2
1761,Sean,Desilets,Boston University,Writing,Boston,MA,4.9,100,3.7,5,0,0,1,1,5,1,1,0,0,0,1,1,0,1,0,2,0,0,2
1762,Susan,Rebecca,Boston University,Art History,Boston,MA,3.1,N/,3.4,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
1763,Maryan,Rizinski,Boston University,Computer Science,Boston,MA,4.3,80,3.3,2,2,2,0,1,1,0,1,0,0,0,2,0,0,3,0,2,0,0,1
1764,Ekaterina,Gnedenko,Boston University,Economics,Boston,MA,2.0,14,3.1,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0
1765,Diana,Lynch,Boston University,Writing,Boston,MA,2.6,N/,4.0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,6
1766,Ryann,Guayasamin,Boston University,Neurological Sciences,Boston,MA,3.0,57,4.0,3,1,3,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,3
1767,Fredrik,Barth,Boston University,Anthropology,Boston,MA,4.3,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,Ha,Jin,Boston University,English,Boston,MA,4.3,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,Mary,Shann,Boston University,Education,Boston,MA,1.9,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,Kasye,Buckle,Boston University,Economics,Boston,MA,3.9,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,Benjamin,Hescott,Boston University,Computer Science,Boston,MA,4.8,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,Isabelle,McIllivan,Boston University,Fine Arts,Boston,MA,3.0,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,David,Salz,Boston University,Sociology,Boston,MA,4.4,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,Victor,Burg,Boston University,Communication,Boston,MA,2.5,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,Irene,Gendzier,Boston University,Political Science,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776,Alex,Bove,Boston University,English,Boston,MA,3.9,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,Liz,Donovan,Boston University,Psychology,Boston,MA,4.1,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,Berkovitz,Tobe,Boston University,Communication,Boston,MA,5.0,N/,2.7,1,0,0,0,0,1,0,0,2,0,0,0,2,0,1,1,0,0,0,0
1779,Uday,Pal,Boston University,Engineering,Boston,MA,2.8,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1780,Justin,Ren,Boston University,Business,Boston,MA,3.9,N/,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1781,Maria,Clodes-Jaguaribe,Boston University,Music,Boston,MA,4.3,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782,Sam,Lacombe,Boston University,Fine Arts,Boston,MA,4.8,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,Pierre,Perron,Boston University,Economics,Boston,MA,2.7,N/,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,Ida,Rothschild,Boston University,English,Boston,MA,3.3,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,Mike,Hadavi,Boston University,Computer Science,Boston,MA,4.8,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786,Susan,Jackson,Boston University,Languages,Boston,MA,4.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1787,Anthony,Patt,Boston University,Geography,Boston,MA,4.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,Claire,Dempsey,Boston University,History,Boston,MA,1.9,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1789,Allen,Peirce,Boston University,Engineering,Boston,MA,3.2,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,Howard,Eichenbaum,Boston University,Psychology,Boston,MA,3.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,Franco,Trivigno,Boston University,Philosophy,Boston,MA,3.6,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,Tetyana,Ryabchikova,Boston University,Music,Boston,MA,4.3,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1793,Michelle,Johnson,Boston University,Communication,Boston,MA,3.6,N/,3.3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1794,Jon,Delogu,Boston University,Writing,Boston,MA,3.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,Jessie,Lebaron,Boston University,Fine Arts,Boston,MA,3.7,N/,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,Geraldine,Grimm,Boston University,Languages,Boston,MA,4.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,Douglas,Kierdorf,Boston University,Social Science,Boston,MA,2.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,Angelo,Codevilla,Boston University,International Studies,Boston,MA,2.0,N/,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,Henrietta,Gates,Boston University,Management,Boston,MA,2.4,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,Sara,Fulmer,Boston University,Political Science,Boston,MA,5.0,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,Jackie,Garfield,Boston University,Anthropology,Boston,MA,3.9,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,Krzysztof,Michalski,Boston University,Philosophy,Boston,MA,3.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1803,Dj,Cash,Boston University,History,Boston,MA,3.8,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,Adele,Raade,Boston University,Health Science,Boston,MA,4.8,N/,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1805,Richard,Ryan,Boston University,Fine Arts,Boston,MA,3.5,N/,2.8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1806,Frank,Capria,Boston University,Communication,Boston,MA,4.6,N/,3.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1807,Jerome,Mertz,Boston University,Engineering,Boston,MA,3.2,N/,3.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1808,Diana,Renn,Boston University,Writing,Boston,MA,4.5,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,Beth,Forrest,Boston University,History,Boston,MA,4.1,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,K,Stahl,Boston University,Communication,Boston,MA,2.4,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,Vladimir,Kleptsyn,Boston University,Engineering,Boston,MA,4.3,N/,1.8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1812,Wei,Qin,Boston University,Engineering,Boston,MA,3.7,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,Charles,Hernick,Boston University,Geography,Boston,MA,3.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,Beverly,Creasey,Boston University,Social Science,Boston,MA,4.7,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,Nir,Eisikovits,Boston University,Philosophy,Boston,MA,4.6,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,Chalmers,Clark,Boston University,Philosophy,Boston,MA,4.2,N/,3.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1817,Dave,Rapson,Boston University,Economics,Boston,MA,2.5,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,David,Craig,Boston University,Education,Boston,MA,3.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819,Rebecca,Richards,Boston University,Communication,Boston,MA,3.1,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,Henry,Kasdon,Boston University,Physical Ed,Boston,MA,4.5,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,Mark,Landers,Boston University,Business,Boston,MA,4.7,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,Melanie,Rathburn,Boston University,Science,Boston,MA,4.0,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,Naomi,Miller,Boston University,Art History,Boston,MA,2.5,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1824,Lara,Saipe,Boston University,Anthropology,Boston,MA,4.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,Tim,Brunker,Boston University,Chemistry,Boston,MA,4.4,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,Pat,Hambrick,Boston University,Marketing,Boston,MA,2.8,N/,3.7,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1827,Alberto,Ortiz,Boston University,Economics,Boston,MA,2.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,Kirk,Wegter-Mcnelly,Boston University,Religion,Boston,MA,4.4,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1829,Andrea,Mosterman,Boston University,Writing,Boston,MA,4.1,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1830,Charles,Warren,Boston University,Film,Boston,MA,3.3,N/,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1831,Judy,Carter,Boston University,Communication,Boston,MA,4.3,N/,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1832,Luca,Dal,Boston University,Engineering,Boston,MA,2.4,N/,3.2,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1
1833,Bella,Suki,Boston University,Engineering,Boston,MA,3.8,N/,2.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1834,Samuel,Mendlinger,Boston University,Sociology,Boston,MA,4.5,N/,1.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1835,Sam,Headrick,Boston University,Music,Boston,MA,3.8,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,Jennifer,Zabelsky,Boston University,Music,Boston,MA,3.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,Jonathan,Treussard,Boston University,Finance,Boston,MA,3.1,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,Heather,Holcombe,Boston University,Writing,Boston,MA,4.4,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,Monica,Del,Boston University,Languages,Boston,MA,2.4,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,Pnina,Lahav,Boston University,Law,Boston,MA,4.4,N/,3.0,1,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1841,Kathleen,Dalton,Boston University,History,Boston,MA,2.3,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,John,O'Brien,Boston University,Physical Education,Boston,MA,4.4,N/,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,Mark,Donen,Boston University,Writing,Boston,MA,2.3,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,Kevin,Koziol,Boston University,Education,Boston,MA,3.3,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,Linda,Doerrer,Boston University,Chemistry,Boston,MA,3.4,N/,3.7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1846,Lisa,Edelson,Boston University,Psychology,Boston,MA,2.4,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,Paul,Pelan,Boston University,Sociology,Boston,MA,4.3,N/,1.2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,Leslie,Goldberg,Boston University,Communication,Boston,MA,3.8,N/,2.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1849,Jan,Egleson,Boston University,Film,Boston,MA,3.5,N/,2.3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1850,Nakcheon,Choi,Boston University,Economics,Boston,MA,3.9,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,Beth,Pugliano,Boston University,Writing,Boston,MA,2.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,ES,Chen,Boston University,Languages,Boston,MA,4.4,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1853,Jeremy,Smith,Boston University,Economics,Boston,MA,4.3,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854,Judy,Rakowsky,Boston University,Journalism,Boston,MA,3.2,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,Kerim,Yasar,Boston University,Languages,Boston,MA,4.8,N/,2.2,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1856,Hyun,Lee,Boston University,Communication,Boston,MA,3.6,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857,William,Lautzenheiser,Boston University,Film,Boston,MA,3.2,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858,Yuka,Akiyama,Boston University,Languages,Boston,MA,4.8,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,Arhan,Ertan,Boston University,Economics,Boston,MA,2.7,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,Alisdair,McKay,Boston University,Economics,Boston,MA,4.0,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,Dana,Frankfort,Boston University,Fine Arts,Boston,MA,4.3,N/,3.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1862,Mike,D'Alessandro,Boston University,Writing,Boston,MA,5.0,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1863,Isabel,Wilkerson,Boston University,Journalism,Boston,MA,2.3,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,Jinhui,Zhen,Boston University,Languages,Boston,MA,4.4,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,Samantha,Peterson,Boston University,Languages,Boston,MA,4.3,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,Saskia,Eubanks,Boston University,Writing,Boston,MA,3.9,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,David,Frankfurter,Boston University,Religion,Boston,MA,3.7,N/,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1868,Teena,Purohit,Boston University,Religion,Boston,MA,2.6,N/,2.2,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1869,Tonja,Bowen,Boston University,Economics,Boston,MA,2.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1870,Timothy,Longman,Boston University,Political Science,Boston,MA,4.2,N/,3.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1
1871,Leslie,Blair,Boston University,Biology,Boston,MA,4.3,N/,3.2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1872,Bobak,Nazer,Boston University,Engineering,Boston,MA,3.2,N/,3.5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1873,Kuntal,Banerjee,Boston University,Ma,Boston,MA,2.2,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,Merav,Opher,Boston University,Astronomy,Boston,MA,2.2,N/,3.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1875,John,Day,Boston University,Computer Science,Boston,MA,2.9,N/,3.2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
1876,Beth,Bennett,Boston University,English,Boston,MA,3.7,N/,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,Yael,Ort-Dinoor,Boston University,Design,Boston,MA,4.3,N/,4.2,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1878,Jay,Pottharst,Boston University,Ma,Boston,MA,2.5,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,Brian,Lukoff,Boston University,Ma,Boston,MA,5.0,N/,2.3,1,2,0,1,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0
1880,Aaron,Goldberg,Boston University,Music,Boston,MA,4.2,N/,1.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1881,Jesse,Shore,Boston University,Business,Boston,MA,3.6,N/,2.5,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,2,2,0,2
1882,Dan,Hutchins,Boston University,Writing,Boston,MA,1.6,N/,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1883,William,Bachman,Boston University,Business,Boston,MA,5.0,N/,3.0,3,2,0,0,0,1,0,3,0,0,1,0,0,0,1,0,1,0,0,0
1884,Alex,Poterack,Boston University,Economics,Boston,MA,4.3,N/,2.7,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1885,Stuart,Jacobs,Boston University,Computer Science,Boston,MA,2.4,N/,3.7,1,0,0,0,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2
1886,Virginia,Fisher,Boston University,Ma,Boston,MA,1.0,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,Michael,Leber,Boston University,Languages,Boston,MA,3.8,N/,3.7,1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1888,Muhammad,Zaman,Boston University,Engineering,Boston,MA,4.8,N/,2.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
1889,Peter,Alrenga,Boston University,Languages,Boston,MA,4.3,N/,3.2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0,0
1890,Sang,Chin,Boston University,Computer Science,Boston,MA,1.9,N/,3.8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0
1891,Michal,Horný,Boston University,Ma,Boston,MA,4.1,N/,2.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
1892,David,Larson,Boston University,Writing,Boston,MA,2.5,N/,4.0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
1893,Scot,Pounds,Boston University,Chemistry,Boston,MA,3.7,N/,2.2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0
1894,Ruiz,De,Boston University,Languages,Boston,MA,5.0,100,1.3,4,3,0,1,0,3,0,0,0,0,0,2,1,0,0,0,3,0,0,0
1895,Maggie,Cummings,Boston University,Languages,Boston,MA,4.2,N/,2.7,3,0,2,0,1,2,1,0,0,0,0,2,0,0,0,1,3,1,0,0
1896,Jennifer,Mandolese,Boston University,Management,Boston,MA,3.5,60,4.0,0,1,0,1,0,3,0,1,1,0,1,0,0,0,0,0,2,0,0,6
1897,Jenelle,Conaway,Boston University,Accounting,Boston,MA,1.6,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
1898,Ryan,Weberling,Boston University,Writing,Boston,MA,3.7,N/,3.0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,0,1,1
1899,Manjari,Chaterjee,Boston University,International Studies,Boston,MA,4.5,N/,4.2,3,0,0,0,2,1,1,0,0,0,0,0,0,1,2,0,1,0,0,4
1900,Nicholas,Gross,Boston University,Physics,Boston,MA,2.1,N/,3.2,0,1,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1901,Wilson,Wong,Boston University,Biomedical,Boston,MA,3.3,N/,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2
1902,Samuel,Bazzi,Boston University,Economics,Boston,MA,4.3,N/,3.7,1,0,4,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3
1903,Mentor,Mustafa,Boston University,Anthropology,Boston,MA,3.3,N/,3.5,2,0,0,0,4,2,3,1,0,0,0,0,0,2,0,1,1,0,0,1
1904,Anandita,Mukherji,Boston University,Philosophy,Boston,MA,4.5,N/,3.2,6,1,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1905,Marie,Satya,Boston University,Writing,Boston,MA,4.6,N/,2.8,3,1,0,1,4,3,0,1,0,0,0,0,0,0,2,0,0,0,0,1
1906,Lawrence,Were,Boston University,Health Science,Boston,MA,3.8,40,3.5,0,0,0,0,2,1,4,0,0,0,4,0,0,0,0,0,2,0,0,2
1907,Sherell,McArthur,Boston University,Sociology,Boston,MA,2.0,N/,3.3,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1
1908,Laurie,LaPorte,Boston University,Anthropology,Boston,MA,4.5,100,2.5,5,0,0,0,3,3,1,0,1,0,0,1,0,0,1,1,2,0,0,0
