FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
James,Welch,Boston University,Finance,Boston,MA,3.8,63,4,0,3,3,0,3,0,1,1,1,0,0,0,2,0,2,0,0,0,0,3,11,2016448,0,171,0,male
Earl,Rideout,Boston University,Business,Boston,MA,2.4,N/,3.4,1,0,0,0,0,5,3,0,0,0,3,0,0,0,0,1,1,0,0,1,11,1379747,0,230,0,male
Emi,Yamanaka,Boston University,Languages,Boston,MA,4.8,N/,2.2,1,0,3,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,11,1785672,183,0,1,female
Dora,Erdos,Boston University,Computer Science,Boston,MA,2.4,18,4.2,0,0,6,3,1,0,2,0,1,1,0,0,0,0,0,2,1,0,0,5,11,2239141,330,0,1,female
Grace,Mohamedi,Boston University,Physics,Boston,MA,3.1,N/,3.9,0,2,5,0,0,0,3,2,0,0,0,0,2,0,1,1,0,0,0,3,11,2040800,376,19,0.951898734,female
Joshua,Anderson,Boston University,Accounting,Boston,MA,2.6,31,4,1,2,0,4,4,1,0,1,1,2,1,0,0,0,1,3,5,3,0,0,13,2134866,0,204,0,male
Jonathan,Ruane,Boston University,Archaeology,Boston,MA,3.3,64,3.5,0,0,0,4,0,1,6,0,5,2,0,1,0,0,0,4,2,4,0,0,11,2249854,0,186,0,male
Matthew,Reis,Boston University,Business,Boston,MA,3.8,70,3.8,1,3,0,0,4,9,2,0,0,0,3,1,0,0,1,0,2,0,0,2,12,2098248,0,313,0,male
Deborah,Perlstein,Boston University,Chemistry,Boston,MA,2.1,14,4.3,1,1,0,0,1,0,0,0,1,5,0,1,0,0,0,3,0,0,0,4,11,1516530,417,0,1,female
Mario,Muscedere,Boston University,Health Science,Boston,MA,4,75,3.5,1,1,0,4,2,3,7,0,2,1,0,3,0,0,4,3,1,0,0,2,12,2301009,0,309,0,male
Jeffrey,Hughes,Boston University,Astronomy,Boston,MA,3,N/,3.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,68115,0,127,0,male
Oldrich,Kyn,Boston University,Economics,Boston,MA,2.5,N/,2.3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,71120,0,95,0,male
John,Hutchison,Boston University,Languages,Boston,MA,3,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,74771,0,145,0,male
James,Wiseman,Boston University,History,Boston,MA,3.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,102694,0,37,0,male
Leigh,Hallisey,Boston University,Communication,Boston,MA,3.9,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,103558,84,12,0.875,female
Christina,Schulze,Boston University,Languages,Boston,MA,4.1,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111294,176,0,1,female
Thomas,Kincaid,Boston University,Engineering,Boston,MA,4.2,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,131444,0,165,0,male
James,Spruill,Boston University,Theater,Boston,MA,4.2,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151890,0,72,0,male
Soumendra,Basu,Boston University,Engineering,Boston,MA,3.4,N/,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,173455,0,49,0,male
Christos,Cassandras,Boston University,Engineering,Boston,MA,1.1,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,173465,0,128,0,male
Stephen,Kalberg,Boston University,Sociology,Boston,MA,3.3,N/,3.1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3,10,191051,0,158,0,male
Xin,Zhang,Boston University,Engineering,Boston,MA,2.5,N/,2.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,198451,94,0,1,female
Jerome,Sadow,Boston University,Communication,Boston,MA,3,N/,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,223432,0,190,0,male
Abbas,Bozorg,Boston University,Finance,Boston,MA,2.7,N/,2.8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,260464,0,63,0,male
James,White,Boston University,Accounting,Boston,MA,4.1,N/,3.2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,280087,0,240,0,male
Paul,Dolan,Boston University,English,Boston,MA,3.2,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,284426,0,106,0,male
Shang-Hua,Teng,Boston University,Computer Science,Boston,MA,2.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,324549,0,156,0,male
Max,Goldman,Boston University,Classics,Boston,MA,3.4,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,377348,0,135,0,male
Eric,Kolaczyk,Boston University,Ma,Boston,MA,2.8,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,382199,0,105,0,male
Elizabeth,H.,Boston University,Ethnic Studies,Boston,MA,3.6,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,401280,300,0,1,female
Margot,Parsons,Boston University,Physical Ed,Boston,MA,3.9,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,419292,88,0,1,female
Sean,Willems,Boston University,Business,Boston,MA,3.7,N/,2.4,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,10,456574,0,240,0,male
Elane,Vaan,Boston University,Theater,Boston,MA,3,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,456784,347,0,1,female
Robert,Casey,Boston University,Psychology,Boston,MA,4.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,478109,0,143,0,male
Melissa,Horvath,Boston University,Communication,Boston,MA,4.9,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,478604,293,0,1,female
Eve,Muson,Boston University,Theater,Boston,MA,3.1,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,504266,279,0,1,female
Peter,Weise,Boston University,Languages,Boston,MA,4.7,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,505859,0,185,0,male
Ali,Alichi,Boston University,Economics,Boston,MA,3.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,509417,0,193,0,male
Perron,Eaton,Boston University,Film,Boston,MA,4.2,N/,3.1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,10,521925,264,0,1,female
Hilda,Westervelt,Boston University,Art History,Boston,MA,4.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,528261,376,0,1,female
Hannah,Carlson,Boston University,Writing,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,542840,181,0,1,female
Lou,Ureneck,Boston University,Journalism,Boston,MA,4.3,N/,2.9,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,10,581472,0,160,0,male
William,Karl,Boston University,Engineering,Boston,MA,4.3,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,615035,0,68,0,male
Roberto,Paiella,Boston University,Engineering,Boston,MA,4.1,N/,3.1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,10,617954,0,136,0,male
Stephen,Davidson,Boston University,Business,Boston,MA,2.8,N/,3.3,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,3,10,637477,0,309,0,male
Tatiana,Mikhailova,Boston University,Economics,Boston,MA,1.7,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,654470,227,0,1,female
Sarah,Arneson,Boston University,Music,Boston,MA,4.8,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,691865,306,0,1,female
William,Burton,Boston University,Languages,Boston,MA,2.3,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,736878,0,207,0,male
Jamie,Self,Boston University,Writing,Boston,MA,2.7,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,758646,356,0,1,female
Diane,Parris,Boston University,Health Science,Boston,MA,3.2,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,758990,316,0,1,female
Linda,Voris,Boston University,Writing,Boston,MA,2.4,N/,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,765484,175,0,1,female
Neta,Crawford,Boston University,Political Science,Boston,MA,3.4,N/,3.3,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,805655,311,0,1,female
Holly,Parker,Boston University,Psychology,Boston,MA,4.5,N/,2.2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,10,820226,298,0,1,female
Greg,Salyer,Boston University,Humanities,Boston,MA,3.3,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,824804,0,105,0,male
Seth,Lobis,Boston University,English,Boston,MA,4.3,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,840062,0,279,0,male
Romana,Lowe,Boston University,Languages,Boston,MA,3.7,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10,840720,204,0,1,female
Wenli,Huang,Boston University,Accounting,Boston,MA,3.6,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,847140,306,0,1,female
Robert,Margo,Boston University,Economics,Boston,MA,4.7,N/,1.9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,895966,0,155,0,male
Peter,Morrissey,Boston University,Communication,Boston,MA,4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,911032,0,348,0,male
Curtis,Woodcock,Boston University,Geography,Boston,MA,3.1,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,921320,0,136,0,male
Sarah,Farkas,Boston University,Philosophy,Boston,MA,4.1,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,939191,148,0,1,female
Ray,Gabler,Boston University,Management,Boston,MA,3,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,966239,0,264,0,male
Cheryl,Clark,Boston University,Writing,Boston,MA,3.8,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1030615,210,0,1,female
Peter,Nowak,Boston University,Communication,Boston,MA,3.9,N/,2.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1048183,0,147,0,male
Ross,Sweet,Boston University,Ma,Boston,MA,4.6,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1152859,0,37,0,male
Jack,McCarthy,Boston University,Management,Boston,MA,2.8,N/,4.1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,3,10,1221678,0,154,0,male
Hiromi,Miyagi-Lusthaus,Boston University,Languages,Boston,MA,4.3,N/,3.1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,10,1228668,353,0,1,female
Samuel,Isaacson,Boston University,Ma,Boston,MA,3.8,N/,3.2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,10,1233253,0,218,0,male
Andrew,Sheehan,Boston University,Computer Science,Boston,MA,4.4,N/,2.6,2,0,1,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,10,1309493,0,131,0,male
Simon,Rabinovitch,Boston University,History,Boston,MA,3.5,N/,3,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10,1438776,0,176,0,male
Fahri,Ulusoy,Boston University,Economics,Boston,MA,4.4,N/,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,10,1442938,0,178,0,male
Chloe,Mulderig,Boston University,Anthropology,Boston,MA,4.9,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1457180,223,0,1,female
Stefania,Garetto,Boston University,Economics,Boston,MA,3.2,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1505947,167,0,1,female
Ramesh,Jasti,Boston University,Chemistry,Boston,MA,4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1543152,0,124,0,male
Ayse,Coskun,Boston University,Engineering,Boston,MA,3,N/,4.4,1,0,5,0,0,1,4,0,0,0,2,0,0,3,0,1,0,0,0,4,11,1568021,154,0,1,female
Yoojin,Chung,Boston University,Management,Boston,MA,3.2,N/,3.7,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,3,10,1580801,227,0,1,female
Joyce,Kim,Boston University,Writing,Boston,MA,4.4,N/,2.7,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1636848,286,0,1,female
Keith,Ericson,Boston University,Business,Boston,MA,1.8,N/,4.2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1637688,0,167,0,male
Heather,Barrett,Boston University,English,Boston,MA,4,N/,3.2,2,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,0,1,3,10,1638509,304,0,1,female
Evangelia,Calhoun,Boston University,Writing,Boston,MA,4.8,N/,2.5,4,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,10,1668311,271,0,1,female
Marc,Howard,Boston University,Psychology,Boston,MA,2.3,N/,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,10,1720561,0,198,0,male
Eric,Bishop,Boston University,Computer Science,Boston,MA,5,N/,3.5,1,0,2,0,5,1,0,0,0,0,0,1,1,0,6,0,5,2,0,0,10,1800237,0,180,0,male
Andrew,R.,Boston University,Languages,Boston,MA,4.2,N/,2.4,1,1,2,0,0,4,1,0,0,0,0,2,2,0,0,0,0,0,0,0,10,1815153,0,135,0,male
Jacob,Groshek,Boston University,Communication,Boston,MA,3.4,N/,3.8,1,3,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,10,1838338,0,44,0,male
Wassim,El,Boston University,Computer Science,Boston,MA,3.8,N/,3.4,2,5,0,0,2,2,0,0,0,0,0,2,0,0,4,6,0,0,0,0,10,1869667,0,168,0,male
Lucia,Pastorino,Boston University,Neurological Sciences,Boston,MA,4.5,N/,2.6,3,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,3,0,0,0,10,1882443,267,0,1,female
Jennifer,Talbot,Boston University,Biology,Boston,MA,3.6,N/,3.8,1,0,6,0,0,1,2,0,0,0,4,0,0,0,1,0,0,1,0,8,10,1963104,293,0,1,female
Robert,Buchwaldt,Boston University,Earth Science,Boston,MA,4.2,71,3,0,0,1,0,0,0,2,0,1,0,0,1,5,1,1,0,2,3,0,2,10,2090261,0,113,0,male
Christopher,Schmitt,Boston University,Anthropology,Boston,MA,3.3,60,4.1,2,0,0,0,0,0,6,2,0,2,0,1,1,0,0,1,2,0,0,5,10,2170504,0,207,0,male
Bahar,Erbas,Boston University,Economics,Boston,MA,3.5,60,3.2,1,0,2,4,0,0,4,0,0,1,0,1,0,0,1,1,2,0,0,2,10,2188720,205,24,0.895196507,female
Jennifer,Balakrishnan,Boston University,Ma,Boston,MA,4.3,80,3.1,2,0,0,7,0,1,2,0,0,0,0,0,0,0,3,1,4,0,0,0,10,2218718,297,0,1,female
Randi,Rotjan,Boston University,Biology,Boston,MA,4.1,70,3.9,1,4,0,1,0,0,4,3,0,2,0,1,0,0,2,3,0,0,0,4,10,2260471,393,0,1,female
Neil,Myler,Boston University,Languages,Boston,MA,3.9,67,3,4,2,4,1,2,1,2,0,2,0,0,3,0,0,2,0,1,0,0,0,10,2120241,0,161,0,male
Kecia,Ali,Boston University,Religion,Boston,MA,3,N/,3.9,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1265219,343,0,1,female
Andrew,Banasiewicz,Boston University,Marketing,Boston,MA,1.4,N/,3.8,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,1719911,0,228,0,male
Renato,Mancuso,Boston University,Computer Science,Boston,MA,4.2,70,4.3,2,1,9,2,0,0,2,0,0,1,0,0,1,0,4,0,1,1,0,1,10,2286575,0,204,0,male
Pinar,Derin,Boston University,Economics,Boston,MA,3.7,N/,2.7,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,11,1099201,337,0,1,female
Dino,Christenson,Boston University,Political Science,Boston,MA,4.5,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,10,1577525,0,191,0,male
Didem,Vardar-Ulu,Boston University,Biology,Boston,MA,2.4,33,4.7,0,0,3,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,2,4,10,2085477,321,0,1,female
Juliet,Pennington,Boston University,Journalism,Boston,MA,4.3,83,3.3,3,2,0,0,0,1,1,3,1,0,0,0,1,0,1,0,7,1,0,0,10,1819981,374,0,1,female
Salma,Tazi-Naim,Boston University,Ma,Boston,MA,2.1,33,3.2,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,2,4,0,0,9,2403258,310,0,1,female
Chip,Cohen,Boston University,Ma,Boston,MA,3.7,N/,2.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,11007,0,16,0,male
Guido,Sandri,Boston University,Engineering,Boston,MA,3.6,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11008,0,96,0,male
Michael,Howe,Boston University,Engineering,Boston,MA,2.8,N/,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,67867,0,102,0,male
Claudio,Chamon,Boston University,Physics,Boston,MA,3.4,N/,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,68110,0,118,0,male
Samina,Karim,Boston University,Business,Boston,MA,4.2,N/,2.6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,68967,77,0,1,female
Sam,Hanna,Boston University,Ma,Boston,MA,2.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,123827,0,160,0,male
William,Lord,Boston University,Journalism,Boston,MA,2.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,176366,0,92,0,male
Linda,Duncombe,Boston University,Health Science,Boston,MA,3.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,188176,149,0,1,female
Randy,Ellis,Boston University,Economics,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,192831,0,139,0,male
Roberta,Clarke,Boston University,Marketing,Boston,MA,4.2,N/,2.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,203556,151,0,1,female
Wolfgang,Haase,Boston University,Classics,Boston,MA,3.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,216689,0,135,0,male
Diane,Vacarra,Boston University,Business,Boston,MA,3.2,N/,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,238285,243,0,1,female
Mark,Miliotis,Boston University,Criminal Justice,Boston,MA,3.9,N/,2.6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,246809,0,102,0,male
Patricia,Peknik,Boston University,Writing,Boston,MA,4.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,265130,105,0,1,female
Asli,Arikan,Boston University,Business,Boston,MA,4.1,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,276333,182,0,1,female
Gwen,Bindas,Boston University,English,Boston,MA,3.2,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,281804,213,12,0.946666667,female
Warren,Levenson,Boston University,Music,Boston,MA,3.8,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,291765,0,81,0,male
Renata,Adler,Boston University,English,Boston,MA,3.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,311270,150,0,1,female
Peter,Southwick,Boston University,Communication,Boston,MA,4.8,N/,3.1,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,312251,0,175,0,male
Jean,Berko,Boston University,Psychology,Boston,MA,3.2,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,318285,85,0,1,female
Andrew,Lyasoff,Boston University,Ma,Boston,MA,3.3,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,329940,0,88,0,male
Maureen,Sullivan,Boston University,Communication,Boston,MA,4.8,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,329947,166,0,1,female
Selim,Unlu,Boston University,Engineering,Boston,MA,3.5,N/,3.4,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,10,373861,0,181,0,male
Roddy,Knowles,Boston University,Theology,Boston,MA,3.4,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,375599,0,65,0,male
Irving,Bigio,Boston University,Engineering,Boston,MA,2.9,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,9,404880,0,110,0,male
Rob,Schadt,Boston University,Communication,Boston,MA,3.2,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,407321,0,153,0,male
Barbara,Feldman,Boston University,Physical Ed,Boston,MA,4.6,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,408123,140,0,1,female
Julie,Beck,Boston University,Communication,Boston,MA,3.7,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,447503,181,0,1,female
Alice,Tseng,Boston University,Art History,Boston,MA,3.7,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,459273,315,0,1,female
Gerard,Keegan,Boston University,Computer Science,Boston,MA,4.3,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,464586,0,68,0,male
Ashraf,El,Boston University,Political Science,Boston,MA,4.4,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,471206,0,235,0,male
Leita,Luchetti,Boston University,Communication,Boston,MA,3.7,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,481782,226,0,1,female
Molly,Saghirian,Boston University,Languages,Boston,MA,4.5,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,481920,132,0,1,female
Kyri,Claflin,Boston University,Writing,Boston,MA,2.6,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,489044,239,0,1,female
Arthur,Calvano,Boston University,Languages,Boston,MA,4.2,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,489879,0,191,0,male
Adam,Seligman,Boston University,Religion,Boston,MA,2.8,N/,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,542484,0,252,0,male
Daniela,Fagnani,Boston University,Languages,Boston,MA,4.2,N/,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,557665,203,0,1,female
Anna,Elliott,Boston University,Languages,Boston,MA,4.8,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,569308,200,0,1,female
David,Armstrong,Boston University,Journalism,Boston,MA,4.6,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,583755,0,116,0,male
Cathy,O'Connor,Boston University,Languages,Boston,MA,4.2,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,609612,246,0,1,female
Martin,Muller,Boston University,Anthropology,Boston,MA,3.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,613869,0,124,0,male
Mark,Crovella,Boston University,Computer Science,Boston,MA,4.2,N/,3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,615539,0,127,0,male
Michal,Biletzki,Boston University,Political Science,Boston,MA,3.1,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,623350,177,0,1,female
Gregory,McDaniel,Boston University,Engineering,Boston,MA,4.9,N/,2.6,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,686004,0,175,0,male
Leher,Singh,Boston University,Not Specified,Boston,MA,3.8,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,702084,73,0,1,female
Tim,Howard,Boston University,Political Science,Boston,MA,4.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,706775,0,121,0,male
Barb,Pinch,Boston University,Physical Ed,Boston,MA,4.8,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,713218,88,0,1,female
Andrew,Newman,Boston University,Economics,Boston,MA,3.4,N/,3.6,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,731051,0,98,0,male
Marylee,Rambaud,Boston University,Education,Boston,MA,3.4,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,748805,109,0,1,female
Joe,Hallet,Boston University,Computer Science,Boston,MA,3.1,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,755058,0,127,0,male
Ivan-Fernandez,Val,Boston University,Economics,Boston,MA,2.2,N/,3.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,759021,0,203,0,male
Joseph,Boskin,Boston University,History,Boston,MA,3.7,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,783242,0,151,0,male
